row_index,mol_id,mol_name,PIC50,target,smiles,xyz,n_atoms,n_heavy,charge,mult,nelec,mol2_charge_sum,charge_residual,elements
0,Mol_1,1SJ0-anthra-Active10th,5.613732958,ESR1,CCc1ccc2c(c1)C(=O)c1ccccc1C2=O,000_Mol_1.xyz,30,18,0,1,124,0.0003,0.0003,"C,H,O"
1,Mol_2,1SJ0-anthra-Active11th,5.422244027,ESR1,O=C1c2ccccc2C(=O)c2cc(Cl)ccc21,001_Mol_2.xyz,24,17,0,1,124,0.0002,0.0002,"C,Cl,H,O"
2,Mol_3,1SJ0-anthra-Active12th,5.420216403,ESR1,Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,002_Mol_3.xyz,28,18,0,1,124,0.0,0.0,"C,H,N,O"
3,Mol_4,1SJ0-anthra-Active13th,5.394662625,ESR1,O=C1c2ccccc2C(=O)c2ccccc21,003_Mol_4.xyz,24,16,0,1,108,0.0006,0.0006,"C,H,O"
4,Mol_5,1SJ0-anthra-Active14th,5.313301183,ESR1,O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21,004_Mol_5.xyz,30,20,0,1,140,-0.0,0.0,"C,H,O"
5,Mol_6,1SJ0-anthra-Active15th,5.299997603,ESR1,O=C(O)c1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,005_Mol_6.xyz,29,21,0,1,146,0.0001,0.0001,"C,H,O"
6,Mol_7,1SJ0-anthra-Active16th,5.250001023,ESR1,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c1C2=O,006_Mol_7.xyz,51,31,0,1,226,0.0,0.0,"C,H,O"
7,Mol_8,1SJ0-anthra-Active17th,5.165579296,ESR1,[O]N(=O)c1ccc(O)c2c1C(=O)c1c(N([O])=O)ccc(O)c1C2=O,007_Mol_8.xyz,30,24,0,1,168,0.0004,0.0004,"C,H,N,O"
8,Mol_9,1SJ0-anthra-Active18th,5.163739197,ESR1,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,008_Mol_9.xyz,26,18,0,1,124,-0.0,0.0,"C,H,O"
9,Mol_10,1SJ0-anthra-Active19th,5.099999035,ESR1,O=C1c2ccccc2C(=O)c2cc(O)ccc21,009_Mol_10.xyz,25,17,0,1,116,0.0002,0.0002,"C,H,O"
