row_index,mol_id,mol_name,target,charge,n_atoms,xtb_polarizability_au,xtb_total_energy_Eh,xtb_gap_eV,E_total_Eh,E_HOMO_eV,E_LUMO_eV,E_HOMO_minus1_eV,E_LUMO_plus1_eV,dipole_x_D,dipole_y_D,dipole_z_D,dipole_total_D,quadrupole_aniso_au,quadrupole_eig_min_au,quadrupole_eig_max_au,quadrupole_asymmetry,HOMO_LUMO_gap_eV,ionization_potential_eV,electron_affinity_eV,chemical_potential_eV,electronegativity_eV,hardness_eV,softness_inv_eV,electrophilicity_eV,max_charge_transfer,q_mulliken_max,q_mulliken_min,q_mulliken_range,q_mulliken_absmax,q_mulliken_mean_abs,q_mulliken_std,q_mulliken_sum_pos,q_mulliken_sum_neg,q_mulliken_C_mean,q_mulliken_C_min,q_mulliken_C_max,q_mulliken_N_mean,q_mulliken_N_min,q_mulliken_N_max,q_mulliken_O_mean,q_mulliken_O_min,q_mulliken_O_max,q_mulliken_S_mean,q_mulliken_S_min,q_mulliken_S_max,q_mulliken_H_mean,q_mulliken_H_min,q_mulliken_H_max,q_mulliken_F_mean,q_mulliken_F_min,q_mulliken_F_max,q_mulliken_Cl_mean,q_mulliken_Cl_min,q_mulliken_Cl_max,q_mulliken_Br_mean,q_mulliken_Br_min,q_mulliken_Br_max,q_mulliken_I_mean,q_mulliken_I_min,q_mulliken_I_max,q_mulliken_P_mean,q_mulliken_P_min,q_mulliken_P_max,q_lowdin_max,q_lowdin_min,q_lowdin_range,q_lowdin_absmax,q_lowdin_mean_abs,q_lowdin_std,q_lowdin_sum_pos,q_lowdin_sum_neg,q_lowdin_C_mean,q_lowdin_C_min,q_lowdin_C_max,q_lowdin_N_mean,q_lowdin_N_min,q_lowdin_N_max,q_lowdin_O_mean,q_lowdin_O_min,q_lowdin_O_max,q_lowdin_S_mean,q_lowdin_S_min,q_lowdin_S_max,q_lowdin_H_mean,q_lowdin_H_min,q_lowdin_H_max,q_lowdin_F_mean,q_lowdin_F_min,q_lowdin_F_max,q_lowdin_Cl_mean,q_lowdin_Cl_min,q_lowdin_Cl_max,q_lowdin_Br_mean,q_lowdin_Br_min,q_lowdin_Br_max,q_lowdin_I_mean,q_lowdin_I_min,q_lowdin_I_max,q_lowdin_P_mean,q_lowdin_P_min,q_lowdin_P_max,xtb_total_energy_alpb_Eh,xtb_Gsolv_water_Eh,xtb_Gelec_Eh,xtb_Gsasa_Eh,xtb_Ghb_Eh,xtb_logP_proxy,PIC50
0,Mol_1,1SJ0-anthra-Active10th,ESR1,0,30,174.801473,-48.5025616736,1.815053950612,-766.8532173197098,-7.104993510752752,-2.913979407406126,-7.215683979626942,-1.6931818190312065,0.7485134566744245,0.11669863027305287,0.15057083983205305,0.772374613084889,71.3964238449834,-32.24462518360894,46.443310091237116,0.22933554188388355,4.191014103346626,7.104993510752752,2.913979407406126,-5.009486459079439,5.009486459079439,2.095507051673313,0.47721146974975615,5.98780008009549,2.390584395828801,0.1289883428197438,-0.17054762671995505,0.29953596953969885,0.17054762671995505,0.03867129572218074,0.061682185835198945,0.5800694358327034,-0.5800694358327187,0.02601800940716742,-0.06937241299741093,0.1289883428197438,0.0,0.0,0.0,-0.169872656379372,-0.17054762671995505,-0.16919768603878893,0.0,0.0,0.0,-0.006378569812995838,-0.028471240620795646,0.015939330436662624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3335811306560661,-0.4134030307957559,0.746984161451822,0.4134030307957559,0.13272182894195497,0.16911678940415664,1.9908274341293208,-1.9908274341293284,-0.028456274969364093,-0.2731898313381995,0.3335811306560661,0.0,0.0,0.0,-0.4125250472297335,-0.4134030307957559,-0.41164706366371107,0.0,0.0,0.0,0.1066958744974404,0.0931191512361691,0.12191860038729818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.512049588148,-0.012500948292,-0.011833681178,0.000779103753,-0.002527130564,0.012500948292,5.613732958
1,Mol_2,1SJ0-anthra-Active11th,ESR1,0,24,163.966547,-46.216426929864,1.822347814172,-1147.7447491249775,-7.275442012806035,-3.142467740512897,-7.332320898725717,-1.9413966267703069,1.2520775361462009,0.6404484450375538,-0.19741137314498466,1.4201561947616712,54.23708504564353,-26.509267216949695,34.55012284441533,0.30246636219135514,4.132974272293138,7.275442012806035,3.142467740512897,-5.208954876659466,5.208954876659466,2.066487136146569,0.48391300507426593,6.56505681367812,2.5206810076605346,0.13161367316026595,-0.1662156631622267,0.29782933632249264,0.1662156631622267,0.04587396290371675,0.0692641833284991,0.5504875548446426,-0.5504875548445594,0.03373062452055826,-0.023700748046200815,0.13161367316026595,0.0,0.0,0.0,-0.16400494447307246,-0.1662156631622267,-0.16179422578391822,0.0,0.0,0.0,-0.010019225593761514,-0.015227847317311083,-0.004622491088688729,0.0,0.0,0.0,-0.07408427518525684,-0.07408427518525684,-0.07408427518525684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3351468344008275,-0.40935924859457096,0.7445060829953984,0.40935924859457096,0.13002900243535728,0.17238423800120464,1.5603480292243357,-1.5603480292242384,0.0003555223103130421,-0.09564847518503772,0.3351468344008275,0.0,0.0,0.0,-0.40709301876357173,-0.40935924859457096,-0.4048267889325725,0.0,0.0,0.0,0.12126088436583748,0.11106524123859751,0.13272938439124693,0.0,0.0,0.0,-0.03961746537800437,-0.03961746537800437,-0.03961746537800437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.225356157599,-0.011443331193,-0.010821483941,0.000891130958,-0.002593737909,0.011443331193,5.422244027
2,Mol_3,1SJ0-anthra-Active12th,ESR1,0,28,169.640888,-49.056116804258,1.278070584381,-798.9287389066872,-5.056614396656488,-2.5271465814971497,-6.747377049949619,-1.0896176347088538,-3.249841379825159,0.48654642342917703,0.10510983301892138,3.2877415490231106,61.870135583586865,-28.308138296379326,40.13402691095882,0.24082010894700026,2.529467815159338,5.056614396656488,2.5271465814971497,-3.791880489076819,3.791880489076819,1.264733907579669,0.7906801533562958,5.684341013263979,2.9981646466120053,0.1338466820728097,-0.2630273553477931,0.3968740374206028,0.2630273553477931,0.06086837177075193,0.09026521438394244,0.8521572047905592,-0.8521572047904951,0.01560634412087371,-0.04698913543220673,0.08914388370384696,0.00756980357177417,0.007548408314728583,0.007591198828819756,-0.26290182464656286,-0.2630273553477931,-0.26277629394533264,0.0,0.0,0.0,0.02921752244574096,-0.04567256138528841,0.1338466820728097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31356951536616773,-0.47316168565420824,0.786731201020376,0.47316168565420824,0.17840493022253995,0.21681306863255118,2.4976690231155656,-2.4976690231155523,0.005783473650968128,-0.11423068913634449,0.31356951536616773,-0.3628210354453021,-0.3628641473914005,-0.3627779234992037,-0.47311632581098273,-0.47316168565420824,-0.4730709659677572,0.0,0.0,0.0,0.15909060913990286,0.1021085621336677,0.2520744243134121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.076050463583,-0.026524001902,-0.017654404833,-0.001814337975,-0.008136018791,0.026524001902,5.420216403
3,Mol_4,1SJ0-anthra-Active13th,ESR1,0,24,151.618328,-42.16566890157,1.804741474156,-688.2793159024828,-7.187729341497688,-3.000939608808476,-7.46689913448882,-1.7733351267816826,1.1434325326949878e-06,7.160756457566589e-06,-1.2838261675541193e-05,1.4744654416129144e-05,66.02703236959252,-30.32973941718435,42.79220848758687,0.24434893843433853,4.186789732689212,7.187729341497688,3.000939608808476,-5.094334475153082,5.094334475153082,2.093394866344606,0.47769296470386213,6.198602127569439,2.4335277386289693,0.129709337124849,-0.16738427979008463,0.29709361691493363,0.16738427979008463,0.041901546139807226,0.06632644745589815,0.5028185536776819,-0.5028185536776915,0.03035114538945224,-0.019476882129665363,0.129709337124849,0.0,0.0,0.0,-0.16738426523354377,-0.16738427979008463,-0.1673842506770029,0.0,0.0,0.0,-0.011268438123156671,-0.011732245505271743,-0.010801064181745534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3334947057853306,-0.40947048511696416,0.7429651909022947,0.40947048511696416,0.13303211668516643,0.17346174741719558,1.5963854002219908,-1.5963854002220037,-0.00788964576171658,-0.08323483813322952,0.3334947057853306,0.0,0.0,0.0,-0.40947047582181373,-0.40947048511696416,-0.4094704665266633,0.0,0.0,0.0,0.11617449903845585,0.11009209333916348,0.12225733610465983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.17456424774,-0.011808194684,-0.01125852752,0.000835048929,-0.002465475792,0.011808194684,5.394662625
4,Mol_5,1SJ0-anthra-Active14th,ESR1,0,30,177.138034,-57.55905469869,1.676618017211,-953.0756542437371,-6.704840784089958,-3.3163867306448527,-6.897227165960818,-1.7057212638760229,0.6649714533199723,-0.9130587914711915,0.5109754865828187,1.2397416417551914,57.06911476822109,-33.19672929292436,32.69528443458788,0.5114151510168619,3.3884540534451055,6.704840784089958,3.3163867306448527,-5.010613757367405,5.010613757367405,1.6942270267225528,0.5902396693166201,7.409352415445477,2.9574630072218446,0.3219804814198097,-0.34189692941452954,0.6638774108343393,0.34189692941452954,0.09509165004525527,0.13780606820897318,1.4263747506788436,-1.426374750678815,0.045240494135025365,-0.06803507578805057,0.3219804814198097,0.0,0.0,0.0,-0.22763052214082222,-0.34189692941452954,-0.1599835387936892,0.0,0.0,0.0,0.04595451986787593,-0.032065469694639415,0.19700662229768406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33365767325547147,-0.49959062238771246,0.8332482956431839,0.49959062238771246,0.1998885513815363,0.2470951504165931,2.998328270723154,-2.9983282707229346,0.031785378158921594,-0.14048373404638692,0.33365767325547147,0.0,0.0,0.0,-0.44505103309644056,-0.49959062238771246,-0.40635407232872645,0.0,0.0,0.0,0.17484744930985982,0.08095329362088755,0.3303049566507703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.577477400582,-0.0226174228,-0.014208547589,0.004511147522,-0.014000782431,0.0226174228,5.313301183
5,Mol_6,1SJ0-anthra-Active15th,ESR1,0,29,179.057365,-60.61050524292,1.658121790716,-1027.052137302404,-6.576649421015012,-3.2261441378351154,-7.035921576735855,-1.9395504341573593,1.2559098505553687,-0.04136623293135178,-0.4596178331676555,1.3380094433578076,29.349909648180805,-11.54815962777936,19.45322716891955,0.1175138425429114,3.3505052831798965,6.576649421015012,3.2261441378351154,-4.901396779425063,4.901396779425063,1.6752526415899482,0.5969248907143464,7.170169380111523,2.9257657369059555,0.19660084415048062,-0.22730867256102982,0.42390951671151045,0.22730867256102982,0.08895452371185239,0.11498725282510842,1.2898405938218374,-1.2898405938218818,0.0358448125847777,-0.06885049592008574,0.16254922248293546,0.0,0.0,0.0,-0.17197127226866846,-0.22730867256102982,-0.11848901775188736,0.0,0.0,0.0,0.06176943060503759,-0.02513632952990763,0.19660084415048062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4973720869641056,-0.44649881372376043,0.943870900687866,0.4973720869641056,0.2249025236656816,0.2707465763347279,3.261086593152349,-3.261086593152416,0.061113087893067096,-0.13036331200142115,0.4973720869641056,0.0,0.0,0.0,-0.41991808977883177,-0.44649881372376043,-0.39424468857525063,0.0,0.0,0.0,0.20035152753461477,0.11266475856986513,0.33722565148596306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.638489736809,-0.035492296686,-0.022140469581,0.005742576648,-0.020175163451,0.035492296686,5.299997603
6,Mol_7,1SJ0-anthra-Active16th,ESR1,0,51,265.939775,-95.835103566597,1.704862979745,-1563.3346710309565,-6.216228990120075,-2.487947223762211,-6.263294010036061,-1.0350584938918483,1.825910479039163,-0.27602850958725367,-2.520385340494032,3.124497252382726,130.45380172967168,-66.4523740700433,81.81417883597429,0.3445859386539955,3.728281766357864,6.216228990120075,2.487947223762211,-4.352088106941143,4.352088106941143,1.864140883178932,0.5364401419568103,5.08026809064959,2.334634761896053,0.3191819514920411,-0.3640158716652948,0.6831978231573359,0.3640158716652948,0.12195341566417715,0.15776951591463975,3.1098120994365113,-3.1098120994365237,0.07488268098112336,-0.11148528484203624,0.3191819514920411,0.0,0.0,0.0,-0.241839915209753,-0.3640158716652948,-0.12668605506297048,0.0,0.0,0.0,0.04229314257469637,-0.06320234205503805,0.1810780446010274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3380444031708647,-0.5227719320065951,0.8608163351774598,0.5227719320065951,0.21627000965949206,0.2609209641644963,5.514885246317046,-5.514885246317048,0.054154659562858525,-0.28962197389667654,0.3380444031708647,0.0,0.0,0.0,-0.43978918803848116,-0.5227719320065951,-0.2981026670920688,0.0,0.0,0.0,0.16303220147823905,0.05935328333509837,0.3295102174568676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-95.885723785151,-0.066998141636,-0.04246080306,0.007218796956,-0.032836895231,0.066998141636,5.250001023
7,Mol_8,1SJ0-anthra-Active17th,ESR1,0,30,190.008591,-71.210759692854,1.863400095876,-1247.271203581533,-7.112748451006587,-3.640347223616721,-7.460353239474087,-2.612269311598389,1.8185341315212316,-8.307816011407507,-0.8612639469835751,8.548020171553196,105.55194545511449,-56.6769864454181,64.45673148796654,0.4036633419421656,3.4724012273898657,7.112748451006587,3.640347223616721,-5.376547837311653,5.376547837311653,1.7362006136949328,0.575970306721542,8.324863618548376,3.0967319069594366,0.24139554119274553,-0.23329776578268735,0.4746933069754329,0.24139554119274553,0.1129995611273613,0.1381257122241661,1.6949934169104512,-1.6949934169103875,0.04544638263942126,-0.06930975092978642,0.14520277780470536,0.2412541130691479,0.24111268494555027,0.24139554119274553,-0.18549812222059892,-0.23329776578268735,-0.10702806296078293,0.0,0.0,0.0,0.060871232445776934,-0.023450518185141656,0.20160026791595487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5874494914109825,-0.4138205194559603,1.0012700108669428,0.5874494914109825,0.24236875680043068,0.2926143427611398,3.6355313520064834,-3.635531352006436,0.04959632442034691,-0.14407536269559262,0.3487788731463093,0.5867588421356085,0.5860681928602345,0.5874494914109825,-0.380693802594543,-0.4138205194559603,-0.3561309951170948,0.0,0.0,0.0,0.19628069910005305,0.11187653817507803,0.33315759125214184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.245948043639,-0.049686637535,-0.046345339509,0.010668075216,-0.01509013294,0.049686637535,5.165579296
8,Mol_9,1SJ0-anthra-Active18th,ESR1,0,26,160.958195,-50.319621332179,1.725329910531,-838.6163195691176,-6.4435351533938805,-2.9861111601724546,-6.842088900222617,-1.450225478460933,-3.1228613949876003,-0.7543688293342874,0.12083016997211879,3.214954984591631,79.9145109567125,-36.356922612671354,51.9039262759845,0.23577746205013936,3.457423993221426,6.4435351533938805,2.9861111601724546,-4.714823156783168,4.714823156783168,1.728711996610713,0.5784653556871157,6.4295144140035285,2.727361854390425,0.1956687786037532,-0.23240496153930046,0.42807374014305366,0.23240496153930046,0.07172553521035853,0.09879773466842721,0.9324319577346578,-0.932431957734664,0.031078196642513704,-0.033608298496350386,0.12871987403822072,0.0,0.0,0.0,-0.17323876916035008,-0.23240496153930046,-0.12231512612660289,0.0,0.0,0.0,0.03223254045577528,-0.04013717155278074,0.1956687786037532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.334259480330485,-0.431716846561935,0.76597632689242,0.431716846561935,0.19232820602636094,0.2328403368936845,2.5002666783426992,-2.500266678342685,0.02278489180409173,-0.14719331500281818,0.334259480330485,0.0,0.0,0.0,-0.4148786131132569,-0.431716846561935,-0.3962122215339665,0.0,0.0,0.0,0.16756574589946965,0.10082130268314182,0.3282244235602507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.338472417046,-0.024638402458,-0.017127408093,0.002803701246,-0.011395455309,0.024638402458,5.163739197
9,Mol_10,1SJ0-anthra-Active19th,ESR1,0,25,156.188133,-46.242052899497,1.842958113457,-763.4474528086978,-6.8120213029616465,-2.930073686379267,-7.131612192515107,-1.6896956304865323,0.2582458394708855,1.3722352715158725,-0.056479035246621,1.397465718870646,52.76663465723733,-22.159986893750986,34.74023745805117,0.16836025584400693,3.8819476165823796,6.8120213029616465,2.930073686379267,-4.8710474946704565,4.8710474946704565,1.9409738082911898,0.515205303507103,6.112164830349872,2.5095895028892063,0.2147105989031015,-0.1734875488731351,0.3881981477762366,0.2147105989031015,0.06307354607562685,0.09432848937970041,0.7884193259452643,-0.7884193259454069,0.03155418643082334,-0.10673582903515921,0.2147105989031015,0.0,0.0,0.0,-0.17228674729570356,-0.1734875488731351,-0.1713715350442957,0.0,0.0,0.0,0.009387703981930173,-0.03278534143392986,0.1825024650934579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3351676991201611,-0.42355690502411747,0.7587246041442786,0.42355690502411747,0.16453707569203996,0.2079743502523969,2.0567134461504066,-2.0567134461505923,0.007310070854530678,-0.14396992565249622,0.3351676991201611,0.0,0.0,0.0,-0.4180264902088228,-0.42355690502411747,-0.4130073420749589,0.0,0.0,0.0,0.14396730983285666,0.10947722514965297,0.33069895884270584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.257181765174,-0.019795987794,-0.014774480171,0.002316234399,-0.00841850172,0.019795987794,5.099999035
