PL RMSD,PL RMSF,L RMSD,L RMSF,Docking score,protein_angle,ligand_angle,water_angle,metal_angle,protein_dihedral,ligand_dihedral,water_dihedral,metal_dihedral,protein_elec,ligand_elec,water_elec,metal_elec,protein_stretch,ligand_stretch,water_stretch,metal_stretch,protein_vdw,ligand_vdw,water_vdw,metal_vdw,protein-ligand_angle,protein-water_angle,protein-metal_angle,ligand-water_angle,ligand-metal_angle,water-metal_angle,protein-ligand_dihedral,protein-water_dihedral,protein-metal_dihedral,ligand-water_dihedral,ligand-metal_dihedral,water-metal_dihedral,protein-ligand_elec,protein-water_elec,protein-metal_elec,ligand-water_elec,ligand-metal_elec,water-metal_elec,protein-ligand_stretch,protein-water_stretch,protein-metal_stretch,ligand-water_stretch,ligand-metal_stretch,water-metal_stretch,protein-ligand_vdw,protein-water_vdw,protein-metal_vdw,ligand-water_vdw,ligand-metal_vdw,water-metal_vdw,Explained-variance-ratio-pc1,Explained-variance-ratio-pc2,Explained-variance-ratio-pc3,PCA-components-shape1,PCA-components-shape2,Average-structure-shape,SASA,ALA,ARG,ASN,ASP,CYS,GLN,GLU,GLY,HIS,ILE,LEU,LYS,MET,PHE,PRO,SER,THR,TRP,TYR,VAL,Total energy,Potential energy,Kinetic energy,Coulombic energy,Excluded volume interactions,Energy with forces,SS charges_atoms,MACCS_1,MACCS_2,MACCS_3,MACCS_4,MACCS_5,MACCS_6,MACCS_7,MACCS_8,MACCS_9,MACCS_10,MACCS_11,MACCS_12,MACCS_13,MACCS_14,MACCS_15,MACCS_16,MACCS_17,MACCS_18,MACCS_19,MACCS_20,MACCS_21,MACCS_22,MACCS_23,MACCS_24,MACCS_25,MACCS_26,MACCS_27,MACCS_28,MACCS_29,MACCS_30,MACCS_31,MACCS_32,MACCS_33,MACCS_34,MACCS_35,MACCS_36,MACCS_37,MACCS_38,MACCS_39,MACCS_40,MACCS_41,MACCS_42,MACCS_43,MACCS_44,MACCS_45,MACCS_46,MACCS_47,MACCS_48,MACCS_49,MACCS_50,MACCS_51,MACCS_52,MACCS_53,MACCS_54,MACCS_55,MACCS_56,MACCS_57,MACCS_58,MACCS_59,MACCS_60,MACCS_61,MACCS_62,MACCS_63,MACCS_64,MACCS_65,MACCS_66,MACCS_67,MACCS_68,MACCS_69,MACCS_70,MACCS_71,MACCS_72,MACCS_73,MACCS_74,MACCS_75,MACCS_76,MACCS_77,MACCS_78,MACCS_79,MACCS_80,MACCS_81,MACCS_82,MACCS_83,MACCS_84,MACCS_85,MACCS_86,MACCS_87,MACCS_88,MACCS_89,MACCS_90,MACCS_91,MACCS_92,MACCS_93,MACCS_94,MACCS_95,MACCS_96,MACCS_97,MACCS_98,MACCS_99,MACCS_100,MACCS_101,MACCS_102,MACCS_103,MACCS_104,MACCS_105,MACCS_106,MACCS_107,MACCS_108,MACCS_109,MACCS_110,MACCS_111,MACCS_112,MACCS_113,MACCS_114,MACCS_115,MACCS_116,MACCS_117,MACCS_118,MACCS_119,MACCS_120,MACCS_121,MACCS_122,MACCS_123,MACCS_124,MACCS_125,MACCS_126,MACCS_127,MACCS_128,MACCS_129,MACCS_130,MACCS_131,MACCS_132,MACCS_133,MACCS_134,MACCS_135,MACCS_136,MACCS_137,MACCS_138,MACCS_139,MACCS_140,MACCS_141,MACCS_142,MACCS_143,MACCS_144,MACCS_145,MACCS_146,MACCS_147,MACCS_148,MACCS_149,MACCS_150,MACCS_151,MACCS_152,MACCS_153,MACCS_154,MACCS_155,MACCS_156,MACCS_157,MACCS_158,MACCS_159,MACCS_160,MACCS_161,MACCS_162,MACCS_163,MACCS_164,MACCS_165,MACCS_166,MACCS_167,pLDDT Mean,pLDDT Std,pLDDT Min,pLDDT Max,pLDDT Q25,pLDDT Q50,pLDDT Q75:,Fraction Hi,Fraction Lo,PAE Mean,PAE Std,PAE Min,PAE Max,PAE Q25,PAE Q50,PAE Q75,PIC50
6.091216783,2.466388889,0.198245,0.270722222,-8.28,1523.178176,10.87389555,0,0,777.5022258,12.82670645,0,0,9297.184506,221.064522,328368.4585,1870.188907,555.3407025,8.756570681,0,0,-432.5736609,19.3190418,13604.72663,3.842357975,0,0,7.741714224,0,0,0,0,0,0.252315813,0,0,0,-5.043374087,-5115.245773,-327.7205472,-12.62587646,-0.275325744,-6510.714579,0,0,12.40847271,0,0,0,-32.20816525,-240.9286346,-5.85628014,-3.351057943,-0.017245233,361.7752358,0.558200917,0.254632775,0.059466881,3,84,28,60.82073127,0.0,1.15,0,11.29,0,0,10.76,0,0,0.0,18.71,0.0,0.0,2.13,0,0,0,1.9,0.0,17.1,-75046.11821,-92448.02123,16649.22355,0.733124472,752.6794743,-1406.567529,8485.029067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,93.72,10.42,43.39,98.9,94.77,97.98,98.59,0.8539,0.0548,5.57,8.44,0.8,31.4,1.4,1.9,3.5,5.613732958
5.889328671,2.5593,0.383457,0.2413,-8.809,1521.369977,8.479233156,0,0,770.5227532,13.61062054,0,0,9356.89601,128.6232488,328341.4516,1887.014407,555.1223232,8.838124579,0,0,-432.6551957,17.91854993,13595.61268,3.845288038,0,0,8.02492281,0,0,0,0,0,0.176506236,0,0,0,-3.473238578,-5147.25537,-370.3265068,-5.022240015,-0.770387615,-6494.159946,0,0,10.85087698,0,0,0,-38.85369179,-251.5475876,-6.077147984,-4.692073225,-0.010781803,360.8216843,0.73438697,0.120430506,0.065220473,3,87,29,41.17613087,0.0,0.0,0,15.32,0,0,26.85,0,0,0.0,23.57,0.0,0.0,2.17,0,0,0,2.16,0.0,30.02,-75084.12752,-92461.9132,16648.07475,1.096041796,729.7109352,-1406.44328,8482.549917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,93.72,10.42,43.39,98.9,94.77,97.98,98.59,0.8539,0.0548,5.57,8.44,0.8,31.4,1.4,1.9,3.5,5.422244027
6.306542,2.736128205,2.812402,1.547307692,-7.846,1520.434124,27.67738989,0,0,788.3396856,7.32086589,0,0,9310.685776,253.0727831,356477.9179,1982.287268,555.1579007,15.41001808,0,0,-450.522161,21.86020816,12002.01262,3.702095209,0,0,8.118597221,0,0,0,0,0,0.220339627,0,0,0,-4.11786175,-5182.618608,-167.6448242,-44.65885061,-1.240054672,-7027.354095,0,0,10.84559588,0,0,0,-41.51134349,-238.3809491,-5.949708882,-18.04884434,-0.054374553,370.0788248,0.333439168,0.246354246,0.106172045,3,198,66,324.7813154,0.0,0.0,0,22.17,0,0,18.46,0,0,0.0,31.81,0.0,0.0,2.87,0,0,0,0.35,0.0,34.9,-73780.59483,-91473.64671,17036.81251,0.772275343,656.2393778,-1357.985819,8976.345033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,93.72,10.42,43.39,98.9,94.77,97.98,98.59,0.8539,0.0548,5.57,8.44,0.8,31.4,1.4,1.9,3.5,5.420216403
22.511458,18.36103125,1.458708,1.16053125,-4.821,1520.571275,28.18196114,0,0,771.3632671,21.51489155,0,0,9302.409679,366.4918688,355946.6748,2080.090759,555.2086637,14.06701854,0,0,-433.8473869,24.16380634,11956.22989,3.350063163,0,0,7.878639934,0,0,0,0,0,0.219280571,0,0,0,-98.48597411,-5109.295279,-176.4518067,-167.5274428,-38.17135615,-7323.762467,0,0,10.57519379,0,0,0,-10.49441659,-261.2688454,-6.323133352,-17.17972684,-0.469710368,378.2603214,0.594600759,0.1866531,0.148126165,3,186,62,577.8178224,0.0,24.15,0,49.47,0,0,21.83,0,0,0.0,0.0,0.34,0.0,0.0,0,0,0,0.44,1.65,6.51,-74044.88198,-91527.76622,17004.63586,0.296560487,478.2483696,-1355.496444,8961.250716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,93.72,10.42,43.39,98.9,94.77,97.98,98.59,0.8539,0.0548,5.57,8.44,0.8,31.4,1.4,1.9,3.5,5.394662625
3.994802198,2.625647059,0.200438,0.162117647,-8.499,1515.413833,6.286266374,0,0,784.939088,6.865836165,0,0,9258.712204,122.9106394,328429.4955,1897.851909,555.9708706,6.996735374,0,0,-428.1209503,15.7467939,13596.82253,3.847627162,0,0,8.200230994,0,0,0,0,0,0.22852045,0,0,0,-6.769250711,-5032.402887,-376.2879189,-11.74204106,-0.24588539,-6503.913953,0,0,10.46333733,0,0,0,-32.71220134,-250.0712658,-5.626863338,-2.153863112,-0.007964517,360.2061306,0.804188695,0.100644018,0.043890634,3,75,25,37.60447952,0.0,0.72,0,5.95,0,0,5.7,0,0,0.0,28.48,0.0,0.0,1.23,0,0,0,4.99,0.0,20.39,-74856.95583,-92510.19488,16650.56334,0.667161642,1002.675718,-1406.741906,8485.423467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,93.72,10.42,43.39,98.9,94.77,97.98,98.59,0.8539,0.0548,5.57,8.44,0.8,31.4,1.4,1.9,3.5,5.313301183
2.821753247,2.1255,0.350513,0.21825,-8.168,1521.473135,10.26299081,0,0,780.7272307,11.38078705,0,0,9192.628216,192.3794404,328277.8089,1865.84386,555.7699803,9.031860123,0,0,-420.498878,19.67399781,13607.19303,4.071710258,0,0,7.366930803,0,0,0,0,0,0.227380159,0,0,0,-19.54526137,-4929.617187,-350.1766419,-21.54603006,-0.953603577,-6472.040708,0,0,11.82448674,0,0,0,-33.39815283,-264.994564,-6.285375517,-2.139244596,-0.015211789,360.8164732,0.828810253,0.067821401,0.030773789,3,84,28,52.71998501,0.0,1.67,0,11.06,0,0,10.25,0,0,0.0,19.21,0.0,0.0,0.19,0,0,0,5.67,0.0,18.04,-75051.19721,-92512.01279,16649.55839,0.987775654,811.2571948,-1406.670713,8484.988767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,93.72,10.42,43.39,98.9,94.77,97.98,98.59,0.8539,0.0548,5.57,8.44,0.8,31.4,1.4,1.9,3.5,5.299997603
0.306733,2.668611111,0.306733,0.211611111,-7.739,1517.83801,10.82296829,0,0,786.138717,7.221650059,0,0,9276.323861,151.7957064,328294.3641,1869.269568,555.3975608,8.357725288,0,0,-442.5246023,19.3717814,13600.31139,3.966926166,0,0,8.224330485,0,0,0,0,0,0.194215757,0,0,0,-4.105349116,-5070.820418,-333.4311476,-3.830293226,-0.145998666,-6497.173123,0,0,10.89518366,0,0,0,-35.74686937,-232.9705875,-6.477554484,-4.342199282,-0.0209586,361.4341853,0.544218612,0.261675802,0.093671463,3,87,29,46.21485215,0.0,8.49,0,9.43,0,0,5.74,0,0,0.0,27.88,0.0,0.0,2.16,0,0,0,0.33,0.0,26.78,-75049.1342,-92439.28689,16648.05428,1.055749489,742.098405,-1406.464467,8482.647717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,93.72,10.42,43.39,98.9,94.77,97.98,98.59,0.8539,0.0548,5.57,8.44,0.8,31.4,1.4,1.9,3.5,5.250001023
4.730838,2.800738095,2.007,1.455047619,-7.275,1527.379424,30.23128494,0,0,778.6333111,12.37332818,0,0,9345.170557,262.6295108,356120.8544,1987.499403,556.1196635,17.15133654,0,0,-409.0312247,24.48038451,11973.08913,3.23171326,0,0,7.781637122,0,0,0,0,0,0.215682754,0,0,0,-3.755450251,-5328.905897,-156.3006085,-42.9526702,-0.612753995,-7070.54882,0,0,13.63524091,0,0,0,-42.62086118,-258.5531625,-6.332421275,-19.79514922,-0.08629317,372.3391191,0.452621519,0.15399107,0.101545028,3,216,72,382.5797106,0.0,0.14,0,6.79,0,0,27.62,0,0,0.0,17.94,0.0,0.0,3.39,0,0,0,5.57,0.04,22.19,-73772.55022,-91361.59141,17022.14734,0.603215035,566.8938547,-1356.182922,8964.850909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,93.72,10.42,43.39,98.9,94.77,97.98,98.59,0.8539,0.0548,5.57,8.44,0.8,31.4,1.4,1.9,3.5,5.165579296
1.114227772,0.97225,0.489117,0.19515,-8.751,1514.696829,9.522029713,0,0,790.1763845,10.57503222,0,0,9331.000607,191.0258218,328325.5927,1877.419042,553.9150509,8.865153683,0,0,-441.1024156,17.94743289,13588.99509,3.772070666,0,0,8.036550233,0,0,0,0,0,0.230525049,0,0,0,-15.46030953,-5216.792415,-322.0691009,-28.82768349,-1.030157557,-6523.275356,0,0,10.57261223,0,0,0,-33.1693434,-241.2714472,-5.353351641,-2.444333852,0.000760794,361.6179768,0.330234855,0.212707228,0.149586726,3,90,30,74.98307892,0.0,0.0,0,6.65,0,0,21.59,0,0,0.0,18.49,0.0,0.0,0.03,0,0,0,0.42,0.0,22.28,-74989.67071,-92463.61386,16645.9665,0.616214169,827.9766483,-1406.395264,8481.506874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,93.72,10.42,43.39,98.9,94.77,97.98,98.59,0.8539,0.0548,5.57,8.44,0.8,31.4,1.4,1.9,3.5,5.163739197
4.158873,3.0403,0.247015,0.33375,-7.406,1515.963995,14.55384552,0,0,788.0660891,20.6237264,0,0,9300.474546,334.8480725,328218.7714,1904.154778,554.4734766,9.848929776,0,0,-419.4528279,21.5286826,13598.96543,3.777141445,0,0,8.034456206,0,0,0,0,0,0.220189169,0,0,0,-8.780656866,-5060.848131,-417.4460364,-19.53487016,-0.207057423,-6472.307065,0,0,10.65442435,0,0,0,-30.55014385,-261.1584799,-8.640604913,-4.866410869,-0.019292953,360.1276348,0.486787641,0.268150594,0.120960306,3,96,32,100.5598891,0.0,0.09,0,17.59,0,0,16.68,0,0,0.0,12.48,0.0,0.0,0.69,0,0,0,2.64,0.0,13.46,-74888.08248,-92414.68127,16646.87202,1.032539216,879.7267637,-1406.307358,8484.153567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,93.72,10.42,43.39,98.9,94.77,97.98,98.59,0.8539,0.0548,5.57,8.44,0.8,31.4,1.4,1.9,3.5,5.099999035
