row_index,mol_id,mol_name,PIC50,mol2_path,smiles,parse,n_atoms_withH,n_heavy,formal_charge,has_3d,n_frags,mw,note,af_group,prefix,target_guess,target
0,Mol_1,1SJ0-anthra-Active10th,5.613732958,D:\Chua files\Said_mol2_files\1SJ0-anthra-Active10th.mol2,CCc1ccc2c(c1)C(=O)c1ccccc1C2=O,sanitized,30,18,0,1,1,236.27,,7,1SJ0,ESR1,ESR1
1,Mol_2,1SJ0-anthra-Active11th,5.422244027,D:\Chua files\Said_mol2_files\1SJ0-anthra-Active11th.mol2,O=C1c2ccccc2C(=O)c2cc(Cl)ccc21,sanitized,24,17,0,1,1,242.661,,7,1SJ0,ESR1,ESR1
2,Mol_3,1SJ0-anthra-Active12th,5.420216403,D:\Chua files\Said_mol2_files\1SJ0-anthra-Active12th.mol2,Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,sanitized,28,18,0,1,1,238.246,,7,1SJ0,ESR1,ESR1
3,Mol_4,1SJ0-anthra-Active13th,5.394662625,D:\Chua files\Said_mol2_files\1SJ0-anthra-Active13th.mol2,O=C1c2ccccc2C(=O)c2ccccc21,sanitized,24,16,0,1,1,208.216,,7,1SJ0,ESR1,ESR1
4,Mol_5,1SJ0-anthra-Active14th,5.313301183,D:\Chua files\Said_mol2_files\1SJ0-anthra-Active14th.mol2,O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21,sanitized,30,20,0,1,1,270.24,,7,1SJ0,ESR1,ESR1
5,Mol_6,1SJ0-anthra-Active15th,5.299997603,D:\Chua files\Said_mol2_files\1SJ0-anthra-Active15th.mol2,O=C(O)c1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,sanitized,29,21,0,1,1,284.223,,7,1SJ0,ESR1,ESR1
6,Mol_7,1SJ0-anthra-Active16th,5.250001023,D:\Chua files\Said_mol2_files\1SJ0-anthra-Active16th.mol2,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c1C2=O,sanitized,51,31,0,1,1,432.381,,7,1SJ0,ESR1,ESR1
7,Mol_8,1SJ0-anthra-Active17th,5.165579296,D:\Chua files\Said_mol2_files\1SJ0-anthra-Active17th.mol2,[O]N(=O)c1ccc(O)c2c1C(=O)c1c(N([O])=O)ccc(O)c1C2=O,partial_sanitize,30,24,0,1,1,330.208,,7,1SJ0,ESR1,ESR1
8,Mol_9,1SJ0-anthra-Active18th,5.163739197,D:\Chua files\Said_mol2_files\1SJ0-anthra-Active18th.mol2,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,sanitized,26,18,0,1,1,240.214,,7,1SJ0,ESR1,ESR1
9,Mol_10,1SJ0-anthra-Active19th,5.099999035,D:\Chua files\Said_mol2_files\1SJ0-anthra-Active19th.mol2,O=C1c2ccccc2C(=O)c2cc(O)ccc21,sanitized,25,17,0,1,1,224.215,,7,1SJ0,ESR1,ESR1
10,Mol_11,1SJ0-anthra-Active1st,5.099999035,D:\Chua files\Said_mol2_files\1SJ0-anthra-Active1st.mol2,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,sanitized,60,32,0,1,1,444.488,,7,1SJ0,ESR1,ESR1
11,Mol_12,1SJ0-anthra-Active20th,5.017733291,D:\Chua files\Said_mol2_files\1SJ0-anthra-Active20th.mol2,O=C1c2ccccc2C(=O)c2c(Cl)cccc21,sanitized,24,17,0,1,1,242.661,,7,1SJ0,ESR1,ESR1
12,Mol_13,1SJ0-anthra-Active2nd,5.013743456,D:\Chua files\Said_mol2_files\1SJ0-anthra-Active2nd.mol2,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,sanitized,67,38,0,1,1,527.526,,7,1SJ0,ESR1,ESR1
13,Mol_14,1SJ0-anthra-Active3rd,5.008773924,D:\Chua files\Said_mol2_files\1SJ0-anthra-Active3rd.mol2,Cc1ccc2c(c1N)C(=O)c1ccccc1C2=O,sanitized,29,18,0,1,1,237.258,,7,1SJ0,ESR1,ESR1
14,Mol_15,1SJ0-anthra-Active4th,4.973740554,D:\Chua files\Said_mol2_files\1SJ0-anthra-Active4th.mol2,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,sanitized,68,39,0,1,1,543.525,,7,1SJ0,ESR1,ESR1
15,Mol_16,1SJ0-anthra-Active5th,4.925066593,D:\Chua files\Said_mol2_files\1SJ0-anthra-Active5th.mol2,Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,sanitized,26,17,0,1,1,223.231,,7,1SJ0,ESR1,ESR1
16,Mol_17,1SJ0-anthra-Active6th,4.913739855,D:\Chua files\Said_mol2_files\1SJ0-anthra-Active6th.mol2,O=C1c2ccc(O)cc2C(=O)c2ccc(O)cc21,sanitized,26,18,0,1,1,240.214,,7,1SJ0,ESR1,ESR1
17,Mol_18,1SJ0-anthra-Active7th,4.849999245,D:\Chua files\Said_mol2_files\1SJ0-anthra-Active7th.mol2,Cc1ccc2c(c1N([O])=O)C(=O)c1ccccc1C2=O,partial_sanitize,29,20,0,1,1,267.24,,7,1SJ0,ESR1,ESR1
18,Mol_19,1SJ0-anthra-Active8th,4.775065718,D:\Chua files\Said_mol2_files\1SJ0-anthra-Active8th.mol2,Cc1ccc2c(c1)C(=O)c1ccccc1C2=O,sanitized,27,17,0,1,1,222.243,,7,1SJ0,ESR1,ESR1
