dataset,dataset_label,split_regime,random_state,selection,model,subset,n,r2,mse,rmse,mae,pearson_r,spearman_rho,r2_ci_lo,r2_ci_hi,w_new,n_features,n_components,n_rows,seconds
md272,MD + AlphaFold + MACCS (272),random,1,cv_r2,nusvr,train,84,0.826414115867023,0.3009338695604311,0.5485743974707816,0.315943983749907,0.9324508706497836,0.909466459499897,,,0.3785716981995239,272,19,122,123.9
md272,MD + AlphaFold + MACCS (272),random,1,cv_r2,nusvr,cv,84,0.6603649181557756,0.5888019059174134,0.7673342856391948,0.5684568464319548,0.8235472863268192,0.6613003670476022,,,0.3785716981995239,272,19,122,123.9
md272,MD + AlphaFold + MACCS (272),random,1,cv_r2,nusvr,test,25,0.575062625451398,0.8366168478580449,0.9146676160540752,0.6693084183166911,0.8028778833990353,0.3750721361937999,-0.938182067380238,0.712490034449432,0.3785716981995239,272,19,122,123.9
md272,MD + AlphaFold + MACCS (272),random,1,cv_r2,nusvr,holdout,13,0.8144495456668768,0.341130961317505,0.5840641756840639,0.4779950733891773,0.9182724259307348,0.8170571691028833,0.1506855511252607,0.9128512225445136,0.3785716981995239,272,19,122,123.9
md272,MD + AlphaFold + MACCS (272),random,1,cv_r2,dnn,train,84,0.0846561569492616,1.586868460205886,1.259709672982583,1.1030672865977256,0.9121553294476032,0.8332953655170893,,,0.5256357692037557,272,19,122,123.9
md272,MD + AlphaFold + MACCS (272),random,1,cv_r2,dnn,cv,84,-7.841181979642322,15.32734713949166,3.9150155988822894,3.398251202158993,0.3690662020486412,0.3064157672739206,,,0.5256357692037557,272,19,122,123.9
md272,MD + AlphaFold + MACCS (272),random,1,cv_r2,dnn,test,25,-0.3218027215556409,2.6023656487565203,1.6131849394153543,1.4412629700316018,0.6950473254628932,0.3019811558073157,-12.30114482774058,0.3098625964278446,0.5256357692037557,272,19,122,123.9
md272,MD + AlphaFold + MACCS (272),random,1,cv_r2,dnn,holdout,13,0.1635789749732594,1.537744056510294,1.2400580859420631,1.0312050309650505,0.8979484382438708,0.7702895870330213,-3.978641263680224,0.6773439567651474,0.5256357692037557,272,19,122,123.9
md272,MD + AlphaFold + MACCS (272),random,1,cv_r2,hybrid,train,84,0.8704323745107638,0.2246224518945501,0.4739435112906918,0.3324202461319281,0.9355846090306682,0.9135468730151264,,,0.3601423422654757,272,19,122,123.9
md272,MD + AlphaFold + MACCS (272),random,1,cv_r2,hybrid,cv,84,0.6252072748178314,0.6497522862271856,0.8060721346301369,0.6116247793309993,0.7916521942848791,0.6424575641894331,,,0.3601423422654757,272,19,122,123.9
md272,MD + AlphaFold + MACCS (272),random,1,cv_r2,hybrid,test,25,0.6216670144558858,0.7448621109001518,0.8630539443743663,0.6722293078833975,0.8012158691842499,0.3635314550801445,-1.5850821925216558,0.7860091968678823,0.3601423422654757,272,19,122,123.9
md272,MD + AlphaFold + MACCS (272),random,1,cv_r2,hybrid,holdout,13,0.835616460287022,0.3022159936422861,0.5497417517728539,0.4638184761199287,0.9185441882639218,0.8033019979058651,0.0257686236370072,0.943674958772662,0.3601423422654757,272,19,122,123.9
md272,MD + AlphaFold + MACCS (272),structure_disjoint,1,cv_r2,nusvr,train,84,0.6330258849907147,0.7482269209436548,0.8650011103713422,0.6772409098050839,0.7957190239260116,0.6466797290426608,,,0.5084178448966854,272,15,122,119.4
md272,MD + AlphaFold + MACCS (272),structure_disjoint,1,cv_r2,nusvr,cv,84,0.5721678675313666,0.8723108962321872,0.93397585420191,0.6874055985478481,0.7658558826589635,0.6099661325011666,,,0.5084178448966854,272,15,122,119.4
md272,MD + AlphaFold + MACCS (272),structure_disjoint,1,cv_r2,nusvr,test,25,0.6267462527527935,0.4250972809530613,0.6519948473362818,0.4909602405714183,0.8048603034241814,0.6115384615384616,-0.8469847958205078,0.872710939491199,0.5084178448966854,272,15,122,119.4
