descriptor,family,mean_abs_shap,mean_shap
ALA,Residue interaction forces,0.12168019837683693,-0.04450218759290627
Average-structure-shape,Ligand conformational dynamics,0.0987593409335913,-0.0667017662269193
PCA-components-shape2,Ligand conformational dynamics,0.09667463500253486,-0.0539786141807253
LEU,Residue interaction forces,0.09114500437781355,-0.020160504849447394
ASP,Residue interaction forces,0.054968533659144315,-0.02917891943932462
ligand_angle,Interaction geometry and energy,0.05006667086341462,-0.016769045316393182
MET,Residue interaction forces,0.04568330311479352,-0.004018764257429782
protein-metal_dihedral,Interaction geometry and energy,0.04233992923406793,-0.03655808883081711
protein-metal_angle,Interaction geometry and energy,0.04004356952815819,-0.03281499266871379
protein-metal_stretch,Interaction geometry and energy,0.03901737927754945,-0.027187339976398855
ligand_dihedral,Interaction geometry and energy,0.03763973706648102,-0.03016209670660373
PHE,Residue interaction forces,0.03747875206916783,0.009539009652886008
Explained-variance-ratio-pc2,Ligand conformational dynamics,0.029572774987188143,-0.012212871847815093
protein-ligand_vdw,Interaction geometry and energy,0.025593988407619207,-0.0038504218522157556
Docking score,MD stability,0.019893547549929773,-0.0026536024242727243
TRP,Residue interaction forces,0.017174814324303886,-0.017174814324303886
LYS,Residue interaction forces,0.01587167979877645,-0.01587167979877645
GLU,Residue interaction forces,0.014864180779839031,0.00031446337855202183
protein_elec,Interaction geometry and energy,0.014823597323435083,-0.011860700117635743
protein-water_elec,Interaction geometry and energy,0.013853441026564033,-0.009863418394222813
ILE,Residue interaction forces,0.012785540386784136,-0.012785540386784136
protein_stretch,Interaction geometry and energy,0.011143124336261452,-0.011143124336261452
protein_vdw,Interaction geometry and energy,0.0107621592852274,0.0005180703922480457
protein-metal_elec,Interaction geometry and energy,0.01076119790594112,-0.01076119790594112
protein-ligand_elec,Interaction geometry and energy,0.010032066488177277,0.0036844727021895403
protein-metal_vdw,Interaction geometry and energy,0.009439007706471493,-0.006022617607242237
ligand_stretch,Interaction geometry and energy,0.007315042943490043,-0.007315042943490043
Coulombic energy,System energetics,0.007177866248597575,0.0013117043397248792
VAL,Residue interaction forces,0.004954474444241664,-0.0013006366152803072
water_elec,Interaction geometry and energy,0.0042377060914753255,-0.0019139428062003693
protein_dihedral,Interaction geometry and energy,0.00412320953859682,0.00412320953859682
Energy with forces,System energetics,0.0037686180780937754,-0.0005421702062382479
Potential energy,System energetics,0.0035329650903198257,-0.0035329650903198257
L RMSD,MD stability,0.003260555855770632,-0.003260555855770632
water_vdw,Interaction geometry and energy,0.003065654915357286,-0.0011962800118265422
ligand_elec,Interaction geometry and energy,0.0026618988441340277,0.0013066603304707797
Excluded volume interactions,System energetics,0.0024318919881562077,-0.0024318919881562077
Explained-variance-ratio-pc1,Ligand conformational dynamics,0.0023481145789922752,0.0023481145789922752
water-metal_vdw,Interaction geometry and energy,0.0020418600812088946,-0.0020418600812088946
protein_angle,Interaction geometry and energy,0.0018253389967582802,-0.0018253389967582802
metal_vdw,Interaction geometry and energy,0.0017399575920426685,-0.0017399575920426685
SASA,MD stability,0.0017387485854427503,-0.0017387485854427503
SS charges_atoms,System energetics,0.001718855735331071,0.001718855735331071
TYR,Residue interaction forces,0.0015805422058950244,-0.0015805422058950244
ligand-metal_elec,Interaction geometry and energy,0.0015406933302090791,-0.0015406933302090791
Total energy,System energetics,0.0015294038861772307,-0.0015294038861772307
Kinetic energy,System energetics,0.0014200146512348922,-0.0014200146512348922
ARG,Residue interaction forces,0.0009885303338112088,-0.0009885303338112088
L RMSF,MD stability,0.0009704551998825557,-0.0009704551998825557
PL RMSD,MD stability,0.0,0.0
PL RMSF,MD stability,0.0,0.0
water_stretch,Interaction geometry and energy,0.0,0.0
metal_elec,Interaction geometry and energy,0.0,0.0
metal_dihedral,Interaction geometry and energy,0.0,0.0
water_dihedral,Interaction geometry and energy,0.0,0.0
water_angle,Interaction geometry and energy,0.0,0.0
metal_angle,Interaction geometry and energy,0.0,0.0
ligand_vdw,Interaction geometry and energy,0.0,0.0
metal_stretch,Interaction geometry and energy,0.0,0.0
protein-water_vdw,Interaction geometry and energy,0.0,0.0
water-metal_elec,Interaction geometry and energy,0.0,0.0
ligand-metal_vdw,Interaction geometry and energy,0.0,0.0
ligand-water_vdw,Interaction geometry and energy,0.0,0.0
ligand-metal_stretch,Interaction geometry and energy,0.0,0.0
water-metal_stretch,Interaction geometry and energy,0.0,0.0
protein-ligand_stretch,Interaction geometry and energy,0.0,0.0
protein-ligand_dihedral,Interaction geometry and energy,0.0,0.0
water-metal_angle,Interaction geometry and energy,0.0,0.0
ligand-metal_angle,Interaction geometry and energy,0.0,0.0
water-metal_dihedral,Interaction geometry and energy,0.0,0.0
ligand-metal_dihedral,Interaction geometry and energy,0.0,0.0
ligand-water_dihedral,Interaction geometry and energy,0.0,0.0
ligand-water_elec,Interaction geometry and energy,0.0,0.0
ligand-water_angle,Interaction geometry and energy,0.0,0.0
protein-water_angle,Interaction geometry and energy,0.0,0.0
protein-ligand_angle,Interaction geometry and energy,0.0,0.0
protein-water_dihedral,Interaction geometry and energy,0.0,0.0
protein-water_stretch,Interaction geometry and energy,0.0,0.0
ligand-water_stretch,Interaction geometry and energy,0.0,0.0
ASN,Residue interaction forces,0.0,0.0
PCA-components-shape1,Ligand conformational dynamics,0.0,0.0
GLY,Residue interaction forces,0.0,0.0
HIS,Residue interaction forces,0.0,0.0
CYS,Residue interaction forces,0.0,0.0
GLN,Residue interaction forces,0.0,0.0
Explained-variance-ratio-pc3,Ligand conformational dynamics,0.0,0.0
SER,Residue interaction forces,0.0,0.0
PRO,Residue interaction forces,0.0,0.0
THR,Residue interaction forces,0.0,0.0
