Descriptor set,Key,Molecules,Descriptors,Missing cells,pIC50 source,Source file,SHA-256 (16)
MD + AlphaFold + MACCS (272),md272,122,272,0,in-file,2.csv,ce27987600db0bf7
"MD + AlphaFold + MACCS, outliers removed (272)",md272_clean,115,272,0,in-file,2_cleaned.csv,0350e164e74e1c90
MD + energetics + ligand-PCA + residue forces (89),md_core89,122,89,0,in-file,2.csv,ce27987600db0bf7
MACCS fingerprints only (167),maccs167,122,167,0,in-file,2.csv,ce27987600db0bf7
AlphaFold pLDDT/PAE only (16),alphafold16,122,16,0,in-file,2.csv,ce27987600db0bf7
PaDEL 2D/3D descriptors (1444),padel,122,1444,189,attached by row index from 2.csv,JDes_output3.csv,0cd4af60bfafbc07
MD block + PaDEL block (1549),fused,122,1549,0,in-file,5_imputed.csv,60a2fb1693c83f7d
Pose-derived 3D descriptors (112194),mol2desc,122,62571,0,in-file,merged_descriptors_with_pic50.csv,fb621e7f17c2d622
DFT/xTB quantum descriptors (this work),dft,122,109,0,in-file,quantum_descriptors.csv,55a7065419d6812e
DFT quantum + MD block (this work),dft_plus_md,122,381,0,in-file,(derived),-
